[2025-11-08 19:03:10] [INFO    ] discord.client: logging in using static token
[2025-11-08 19:03:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-08 19:03:11] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-08 19:03:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1436680022705307699', 'username': 'DataMind Society bot', 'avatar': '3f5ddc306f1482627c3884bea2d746a2', 'discriminator': '1749', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-08 19:03:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-08 19:03:11] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-08 19:03:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1436680022705307699', 'name': 'DataMind Society bot', 'icon': '3f5ddc306f1482627c3884bea2d746a2', 'description': '', 'type': None, 'bot': {'id': '1436680022705307699', 'username': 'DataMind Society bot', 'avatar': '3f5ddc306f1482627c3884bea2d746a2', 'discriminator': '1749', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '9b69b09ded5130097d994180aca3d3f0ba2ebda859bb9e97dd11c743d2461f38', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '506532853689876480', 'username': '.finse', 'avatar': 'a_65bcb4dcc21b25c8fdc69e981879b332', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': '4dbb06f3d0fa86f91dab8d8841efd18e', 'accent_color': 16711680, 'global_name': 'finse', 'avatar_decoration_data': {'asset': 'a_be6c77adcaa4aa3ed641f6c78de0dbb8', 'sku_id': '1432427447093039205', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#ff0000', 'clan': {'identity_guild_id': '640493185893924884', 'identity_enabled': True, 'tag': 'HZBN', 'badge': '788a69567671fb4d110432beeada67b6'}, 'primary_guild': {'identity_guild_id': '640493185893924884', 'identity_enabled': True, 'tag': 'HZBN', 'badge': '788a69567671fb4d110432beeada67b6'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-08 19:03:11] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-08 19:03:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-jj3l",{"micros":0.0}]']}}
[2025-11-08 19:03:11] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-08 19:03:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-08 19:03:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'DataMind Society bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1436680022705307699', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1749', 'clan': None, 'bot': True, 'avatar': '3f5ddc306f1482627c3884bea2d746a2'}, 'session_type': 'normal', 'session_id': 'd2739d26696f2b38fe6b9cf03bd843e8', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '765250238960762901'}, {'unavailable': True, 'id': '1436688002989428769'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['madrid', 'paris', 'london', 'milan', 'rotterdam'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1436680022705307699', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-d-jj3l",{"micros":310914,"calls":["id_created",{"micros":546,"calls":[]},"session_lookup_time",{"micros":617,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-120",{"micros":308371,"calls":["start_session",{"micros":296307,"calls":["discord-api-rpc-6f9fbfb89-w2z7g",{"micros":224928,"calls":["get_user",{"micros":12126},"get_guilds",{"micros":4424},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":65522},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":54923},"apex_experiments",{"micros":9501},"user_activities",{"micros":5},"played_application_ids",{"micros":10},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":57,"calls":[]},"presence_started",{"micros":3590,"calls":[]},"guilds_started",{"micros":162,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":8211,"calls":[]},"connect_finished",{"micros":8234,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-11-08 19:03:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-08 19:03:12] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d2739d26696f2b38fe6b9cf03bd843e8).
[2025-11-08 19:03:12] [DEBUG   ] discord.client: Dispatching event connect
